COMMUNE;nomcom;CODE_REG;dist;long;lat;superficie;LIBEPCI;libuu2020;DEP;REG;emp;actifs;PTOT
72109;Crissé;52;153,1416194;-0,064515109;48,18027359;21,00971302;CC de la Champagne Conlinoise et du Pays de Sillé;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;89,51989165;268,0072464;558
72110;Crosmières;52;118,8006026;-0,154731738;47,73619927;20,78309655;CC du Pays Fléchois;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;206,4920008;425,0075831;1064
72111;Cures;52;150,7739552;0,016672125;48,08462422;11,38993949;CC de la Champagne Conlinoise et du Pays de Sillé;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;60,57653116;263,2430774;486
72112;Dangeul;52;176,3512405;0,260996942;48,24901712;14,29148407;CC Maine Saosnois;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;60,39125705;188,8050314;481
72113;Degré;52;151,9890662;0,073566477;48,05283292;9,932633444;CC de la Champagne Conlinoise et du Pays de Sillé;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;83,77905434;380,406291;775
72114;Dehault;52;192,4667346;0,576083848;48,20823675;8,96964033;CC du Pays de l'Huisne Sarthoise;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;55,24391777;154,4259259;274
72115;Dissay-sous-Courcillon;52;160,3163166;0,484524458;47,66641029;35,01376877;CC Loir-Lucé-Bercé;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;148,2427349;410;944
72118;Dollon;52;183,7215955;0,593533551;48,0360308;25,68501514;CC des Vallées de la Braye et de l'Anille;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;175,5573751;662,5864454;1483
72119;Domfront-en-Champagne;52;154,1203921;0,04500261;48,10917233;21,21090741;CC de la Champagne Conlinoise et du Pays de Sillé;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;147,2952705;520;1066
72120;Doucelles;52;172,4621415;0,183617582;48,25605343;4,608393786;CC Haute Sarthe Alpes Mancelles;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;10,02;125,5;254
